MiB Mem :   1827.1 total,   1627.2 free,    141.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1631.2 free,    137.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1633.3 free,    134.8 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1634.1 free,    134.0 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1635.9 free,    132.3 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1638.2 free,    129.9 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1628.7 free,    139.4 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1629.5 free,    138.6 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1631.6 free,    136.6 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1632.7 free,    135.4 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1632.0 free,    136.2 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1630.5 free,    137.6 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1630.5 free,    137.7 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1631.3 free,    136.8 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1629.5 free,    138.6 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1636.7 free,    131.4 used,     58.9 buff/cache
MiB Mem :   1827.1 total,   1638.8 free,    129.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1639.5 free,    128.5 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1633.7 free,    134.4 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1627.6 free,    140.5 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1628.6 free,    139.5 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.8 free,    137.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1632.5 free,    135.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.5 free,    136.5 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1632.4 free,    135.7 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1633.1 free,    135.0 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.6 free,    137.4 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.8 free,    137.3 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1630.6 free,    137.5 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.2 free,    136.9 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1634.5 free,    133.6 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1635.9 free,    132.2 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1631.2 free,    136.9 used,     59.0 buff/cache
MiB Mem :   1827.1 total,   1632.2 free,    135.9 used,     59.0 buff/cache
